Year,Period,Likes,Comments,Replies,Retweets,Impressions,Engagements,Engagement_rate,Reach,EngagedUsers,TotalPageLikes,NewPageLikes,PageUnlike,URLclicks,Days,EngagementSP,EngagementCP,Target
2015,02-Mar-15,767,87,587,475,5706,9151,160.3750438,276,1771,500,898,73,913,Monday,16,29,10
2015,03-Mar-15,242,35,951,371,8683,6722,77.41563976,884,7741,511,4475,915,502,Tuesday,50,39,10
2015,04-Mar-15,783,12,277,350,9785,9809,100.2452734,739,3052,486,2523,881,37,Wednesday,13,37,10
2015,05-Mar-15,599,95,357,484,1874,3683,196.5314835,377,7680,860,1929,481,832,Thursday,19,24,10
2015,06-Mar-15,901,65,170,141,5892,3051,51.78207739,149,1970,445,788,808,673,Friday,61,74,10
2015,07-Mar-15,753,75,657,168,2723,4777,175.4315094,646,5495,776,990,390,224,Saturday,46,32,10
2015,08-Mar-15,117,16,811,209,2694,7806,289.7550111,839,2688,195,1873,450,694,Sunday,97,25,10
2015,09-Mar-15,115,30,353,119,4452,5933,133.2659479,150,7052,656,3063,832,625,Monday,49,10,10
2015,10-Mar-15,682,76,904,196,7730,7265,93.98447607,165,1746,747,1566,665,353,Tuesday,97,37,10
2015,11-Mar-15,231,94,444,420,6419,3254,50.6932544,517,1617,132,3770,406,81,Wednesday,10,62,10
2015,12-Mar-15,112,22,131,271,2852,4559,159.8527349,774,8383,649,4291,178,796,Thursday,13,68,10
2015,13-Mar-15,825,43,305,450,7956,5092,64.00201106,499,4922,636,2790,268,639,Friday,69,65,10
2015,14-Mar-15,786,50,988,254,2653,2187,82.43497927,895,8843,463,1629,626,55,Saturday,42,96,10
2015,15-Mar-15,986,31,123,377,1606,2550,158.7795766,332,3815,909,4426,329,319,Sunday,80,38,10
2015,16-Mar-15,113,26,843,172,1225,2201,179.6734694,103,4474,255,595,635,567,Monday,92,62,10
2015,17-Mar-15,326,33,351,261,1800,7373,409.6111111,413,2129,675,2414,280,179,Tuesday,28,94,10
2015,18-Mar-15,349,64,160,359,5745,9158,159.408181,439,8430,440,4020,200,299,Wednesday,100,69,10
2015,19-Mar-15,670,43,836,494,5683,7195,126.605666,398,9695,736,3087,81,960,Thursday,100,44,10
2015,20-Mar-15,576,54,583,377,9652,9969,103.2842934,319,7347,943,2742,409,210,Friday,100,57,10
2015,21-Mar-15,654,68,199,305,7779,3830,49.2351202,274,1794,841,4446,715,222,Saturday,44,79,10
2015,22-Mar-15,489,18,556,122,3944,2410,61.10547667,949,7535,757,1253,677,682,Sunday,46,37,10
2015,23-Mar-15,631,62,949,113,1690,3860,228.4023669,370,6401,840,2945,131,407,Monday,92,56,10
2015,24-Mar-15,889,28,425,296,2605,6737,258.6180422,249,9650,730,885,180,241,Tuesday,44,49,10
2015,25-Mar-15,138,15,556,226,3183,8908,279.8617656,362,6825,868,4985,778,393,Wednesday,30,19,10
2015,26-Mar-15,692,77,605,377,9030,6120,67.77408638,445,8951,155,593,445,576,Thursday,57,69,10
2015,27-Mar-15,238,68,127,414,7938,3952,49.78584026,594,3869,625,1046,418,310,Friday,90,46,10
2015,28-Mar-15,662,20,624,101,8458,1613,19.07070229,409,9449,522,397,43,62,Saturday,95,77,10
2015,29-Mar-15,382,31,368,309,9682,1131,11.68147077,938,4722,851,587,829,121,Sunday,18,86,10
2015,30-Mar-15,764,92,472,316,8800,5464,62.09090909,294,1106,637,473,735,270,Monday,65,36,10
2015,31-Mar-15,247,30,764,272,7278,9827,135.0233581,132,5131,605,983,516,129,Tuesday,78,67,10
2015,01-Apr-15,446,50,756,265,2352,2108,89.62585034,786,3148,728,4274,684,37,Wednesday,29,12,10
2015,02-Apr-15,573,38,333,230,2581,4869,188.6478109,462,3436,897,3068,266,525,Thursday,92,42,10
2015,03-Apr-15,704,30,985,314,3655,7431,203.3105335,455,6613,70,4206,342,372,Friday,92,90,10
2015,04-Apr-15,477,11,561,258,8641,4707,54.47286194,555,2409,868,4104,799,451,Saturday,12,98,10
2015,05-Apr-15,231,31,250,439,5307,9642,181.6845676,313,8178,790,4759,962,483,Sunday,61,62,10
2015,06-Apr-15,788,47,892,424,9794,8517,86.96140494,751,3803,996,3772,25,169,Monday,43,51,10
2015,07-Apr-15,362,81,513,274,2579,2631,102.0162854,225,4550,176,376,892,250,Tuesday,30,45,10
2015,08-Apr-15,465,53,833,301,3738,5204,139.2188336,381,7556,818,4640,94,153,Wednesday,51,13,10
2015,09-Apr-15,703,23,234,472,1330,5040,378.9473684,357,7968,628,638,147,70,Thursday,56,95,10
2015,10-Apr-15,882,93,713,342,3076,2116,68.79063719,374,7156,488,2845,419,529,Friday,84,84,10
2015,11-Apr-15,522,53,151,299,3458,7266,210.1214575,903,4679,186,4463,949,333,Saturday,42,47,10
2015,12-Apr-15,872,78,322,449,5130,5406,105.380117,850,3953,857,1666,697,228,Sunday,47,24,10
2015,13-Apr-15,152,21,616,156,2257,2176,96.41116526,518,6712,656,4114,994,29,Monday,50,13,10
2015,14-Apr-15,610,20,570,473,4742,9261,195.2973429,136,5561,333,2437,404,27,Tuesday,14,72,10
2015,15-Apr-15,935,46,184,301,7643,7773,101.7009028,813,2423,191,2601,659,211,Wednesday,26,98,10
2015,16-Apr-15,712,73,885,375,5623,2509,44.62030944,587,8796,708,699,592,708,Thursday,38,65,10
2015,17-Apr-15,926,49,965,188,4190,4647,110.9069212,842,8931,767,4599,832,421,Friday,12,42,10
2015,18-Apr-15,968,83,988,311,8053,3390,42.09611325,264,2900,681,383,426,276,Saturday,44,74,10
2015,19-Apr-15,940,16,704,194,7379,5230,70.87681258,431,7030,638,4944,937,672,Sunday,47,60,10
2015,20-Apr-15,169,14,247,472,1014,6309,622.1893491,648,4339,10,4382,974,651,Monday,98,57,10
2015,21-Apr-15,324,68,508,163,6825,6750,98.9010989,353,4092,423,4635,274,457,Tuesday,40,75,10
2015,22-Apr-15,231,86,134,290,6849,6863,100.2044094,959,6337,451,4414,400,112,Wednesday,100,57,10
2015,23-Apr-15,670,71,178,392,1885,2541,134.801061,757,3886,442,4659,421,171,Thursday,40,22,10
2015,24-Apr-15,808,99,670,232,5574,4116,73.84284177,734,3040,675,1473,763,923,Friday,69,18,10
2015,25-Apr-15,515,97,991,142,1122,2051,182.798574,911,7133,329,2371,772,548,Saturday,68,34,10
2015,26-Apr-15,819,34,963,371,7699,2098,27.25029225,716,4837,958,2340,898,745,Sunday,36,64,10
2015,27-Apr-15,959,82,132,445,8573,2376,27.71491893,837,5946,921,1543,614,257,Monday,76,50,10
2015,28-Apr-15,718,99,667,345,5855,1661,28.36891546,357,6168,649,3176,886,686,Tuesday,32,61,10
2015,29-Apr-15,657,67,373,293,2111,6466,306.3003316,451,1852,196,2153,868,737,Wednesday,95,27,10
2015,30-Apr-15,281,13,389,336,3027,3187,105.2857615,535,5943,880,2511,441,321,Thursday,22,98,10
2015,01-May-15,505,76,826,486,2858,7205,252.0993702,343,3744,534,2943,86,469,Friday,77,67,10
2015,02-May-15,763,100,393,215,2161,4708,217.8621009,507,7469,29,292,208,45,Saturday,16,93,10
2015,03-May-15,174,99,657,470,9714,8466,87.15256331,310,7844,898,191,533,214,Sunday,42,46,10
2015,04-May-15,285,86,912,268,4351,8851,203.4245001,268,1822,408,2474,705,153,Monday,95,41,10
2015,05-May-15,355,56,655,146,1039,2589,249.1819057,411,4775,193,1791,707,603,Tuesday,16,81,10
2015,06-May-15,539,54,231,338,6635,9859,148.5908063,906,8179,536,3950,399,790,Wednesday,88,72,10
2015,07-May-15,108,93,281,290,6737,7830,116.2238385,102,8694,246,1664,221,227,Thursday,83,74,10
2015,08-May-15,979,11,545,499,7595,1417,18.65701119,943,5559,998,249,986,790,Friday,75,46,10
2015,09-May-15,342,75,453,167,7376,1835,24.87798265,604,5296,741,1877,197,283,Saturday,98,36,10
2015,10-May-15,619,61,888,383,9058,3131,34.56612939,558,3716,121,1791,992,132,Sunday,72,37,10
2015,11-May-15,651,86,672,347,4898,7413,151.3474888,341,5984,238,2579,118,807,Monday,74,38,10
2015,12-May-15,725,89,104,320,9119,4626,50.72924663,763,1550,711,1222,385,849,Tuesday,10,27,10
2015,13-May-15,136,55,790,309,5230,4284,81.91204589,285,7750,656,3077,913,487,Wednesday,73,82,10
2015,14-May-15,527,14,297,341,2020,3320,164.3564356,149,5892,667,1235,183,478,Thursday,29,63,10
2015,15-May-15,237,65,739,495,1197,7000,584.7953216,483,7911,366,3652,597,332,Friday,23,54,10
2015,16-May-15,977,15,850,142,6829,4515,66.11509738,175,7341,639,2738,122,185,Saturday,10,89,10
2015,17-May-15,596,27,176,169,1552,1700,109.5360825,628,2294,804,3778,892,466,Sunday,22,74,10
2015,18-May-15,286,96,707,292,4093,1992,48.66845834,664,2490,62,4402,561,307,Monday,45,33,10
2015,19-May-15,473,67,933,290,3433,5116,149.0241771,841,8004,818,1460,75,447,Tuesday,47,67,10
2015,20-May-15,944,47,569,280,8342,6662,79.86094462,580,7207,473,4903,230,390,Wednesday,11,64,10
2015,21-May-15,671,35,870,241,2899,4950,170.748534,630,2798,530,1840,831,942,Thursday,22,14,10
2015,22-May-15,612,50,951,301,4150,7656,184.4819277,513,2710,134,3306,357,643,Friday,35,69,10
2015,23-May-15,716,60,731,389,4534,9229,203.5509484,522,7916,419,62,406,987,Saturday,11,63,10
2015,24-May-15,705,78,518,456,9778,5566,56.92370628,889,5068,616,3247,805,936,Sunday,68,53,10
2015,25-May-15,281,84,849,481,5829,2103,36.07822954,507,5209,491,1287,895,140,Monday,81,39,10
2015,26-May-15,425,91,705,354,3436,9121,265.4540163,200,4652,227,616,428,200,Tuesday,86,92,10
2015,27-May-15,304,60,723,244,2222,2627,118.2268227,330,6124,323,4378,983,469,Wednesday,63,94,10
2015,28-May-15,729,66,903,296,4052,4352,107.4037512,450,2608,853,3661,637,76,Thursday,21,95,10
2015,29-May-15,785,14,686,224,8852,8930,100.8811568,666,2431,278,3326,269,114,Friday,98,42,10
2015,30-May-15,665,89,264,217,4801,6227,129.7021454,345,3235,874,754,336,587,Saturday,81,29,10
2015,31-May-15,713,75,258,461,6614,6124,92.59147263,499,8064,505,2820,517,195,Sunday,43,67,10
2015,01-Jun-15,468,75,679,343,8457,1316,15.56107367,935,6986,428,2187,554,559,Monday,88,100,10
2015,02-Jun-15,356,26,693,158,6416,9361,145.9008728,433,9345,903,2802,807,130,Tuesday,92,65,10
2015,03-Jun-15,850,46,696,258,4135,8596,207.8839178,672,9593,338,756,605,739,Wednesday,72,12,10
2015,04-Jun-15,397,45,467,446,6604,5798,87.79527559,308,8179,500,827,538,488,Thursday,72,74,10
2015,05-Jun-15,526,69,181,441,1056,6135,580.9659091,446,9640,838,4042,345,235,Friday,37,32,10
2015,06-Jun-15,652,89,838,432,1094,1415,129.3418647,700,1830,50,2557,809,809,Saturday,62,10,10
2015,07-Jun-15,856,99,765,214,2926,8706,297.5393028,166,9070,971,1264,791,426,Sunday,50,22,10
2015,08-Jun-15,285,18,794,115,2658,7496,282.0165538,575,6519,247,2992,304,452,Monday,57,96,10
2015,09-Jun-15,425,29,782,341,7387,5577,75.4974956,883,5426,995,922,938,129,Tuesday,28,33,10
2015,10-Jun-15,125,35,752,308,8797,8895,101.1140161,942,5921,49,3376,706,256,Wednesday,68,54,10
2015,11-Jun-15,847,98,661,214,1888,3746,198.4110169,991,6653,671,2704,473,36,Thursday,54,49,10
2015,12-Jun-15,696,29,258,103,8244,6429,77.98398836,714,9923,304,2546,118,755,Friday,58,34,10
2015,13-Jun-15,591,36,761,232,1657,7278,439.2275196,928,1561,580,2801,658,612,Saturday,51,26,10
2015,14-Jun-15,369,41,810,165,5920,3701,62.51689189,496,6228,207,548,354,512,Sunday,38,70,10
2015,15-Jun-15,492,31,556,350,3457,8222,237.8362742,943,1115,343,4423,33,793,Monday,77,81,10
2015,16-Jun-15,241,29,350,429,1474,1689,114.5861601,118,4081,607,3885,212,556,Tuesday,89,79,10
2015,17-Jun-15,221,46,706,226,8779,4563,51.9763071,408,7156,927,2802,465,575,Wednesday,50,52,10
2015,18-Jun-15,239,69,332,336,5959,8662,145.3599597,700,1852,836,3026,559,828,Thursday,44,91,10
2015,19-Jun-15,510,96,666,278,7967,1771,22.22919543,174,9092,163,2417,577,297,Friday,63,56,10
2015,20-Jun-15,408,37,961,356,8862,8449,95.33965245,878,1662,245,1573,722,934,Saturday,44,71,10
2015,21-Jun-15,463,48,980,329,7436,9569,128.6847768,338,5253,776,2287,644,421,Sunday,37,36,10
2015,22-Jun-15,191,22,825,106,8087,2835,35.05626314,374,5072,495,3428,841,621,Monday,36,19,10
2015,23-Jun-15,531,61,618,290,1445,6629,458.7543253,229,9838,541,3330,590,151,Tuesday,34,75,10
2015,24-Jun-15,780,76,379,199,3132,2334,74.5210728,927,2289,793,1668,524,832,Wednesday,45,10,10
2015,25-Jun-15,442,91,269,193,4329,6623,152.991453,722,2157,473,3315,852,293,Thursday,43,21,10
2015,26-Jun-15,809,23,689,424,7875,9261,117.6,150,1434,493,1569,299,457,Friday,12,61,10
2015,27-Jun-15,443,53,855,497,4661,4705,100.9440034,649,1716,208,2536,924,251,Saturday,62,84,10
2015,28-Jun-15,414,35,514,259,7858,3156,40.16289132,958,9038,763,1631,551,302,Sunday,90,80,10
2015,29-Jun-15,576,60,572,196,6562,1700,25.90673575,284,7047,581,1931,46,417,Monday,38,30,10
2015,30-Jun-15,206,36,230,310,6472,8201,126.7150803,475,3577,199,2788,187,794,Tuesday,73,93,10
2015,01-Jul-15,273,83,501,303,7822,5058,64.66376886,198,9993,740,4461,840,657,Wednesday,33,74,10
2015,02-Jul-15,709,40,631,152,2320,7388,318.4482759,526,2338,922,1598,850,438,Thursday,32,82,10
2015,03-Jul-15,629,51,686,222,1241,8718,702.4979855,892,4918,351,2708,716,332,Friday,39,57,10
2015,04-Jul-15,276,59,751,388,7639,2766,36.20892787,379,1399,833,3732,661,722,Saturday,60,29,10
2015,05-Jul-15,654,73,985,464,5777,3015,52.18971785,194,6150,881,798,603,923,Sunday,18,51,10
2015,06-Jul-15,195,73,351,465,6380,2692,42.19435737,450,5897,426,324,505,683,Monday,77,70,10
2015,07-Jul-15,454,14,637,366,3820,6997,183.1675393,798,2095,844,770,972,656,Tuesday,45,90,10
2015,08-Jul-15,381,89,998,468,1927,6775,351.5827711,580,8862,639,4585,147,800,Wednesday,58,32,10
2015,09-Jul-15,483,14,489,334,6946,9056,130.3771955,726,2449,93,4464,80,483,Thursday,88,91,10
2015,10-Jul-15,266,40,187,384,8295,5353,64.53285112,870,3014,642,2509,505,40,Friday,10,15,10
2015,11-Jul-15,913,71,462,200,4041,5053,125.0433061,891,5391,167,2245,74,199,Saturday,72,14,10
2015,12-Jul-15,939,16,895,241,2026,8080,398.8153998,696,4130,423,3576,664,611,Sunday,25,12,10
2015,13-Jul-15,600,17,683,174,7795,9665,123.989737,567,9901,123,4693,302,358,Monday,70,91,10
2015,14-Jul-15,658,39,396,437,8746,9676,110.6334324,613,7289,16,2758,64,140,Tuesday,70,10,10
2015,15-Jul-15,310,80,500,172,6020,8617,143.1395349,529,7775,26,2066,455,550,Wednesday,51,75,10
2015,16-Jul-15,304,85,678,175,5659,7790,137.6568298,801,6262,969,4071,132,617,Thursday,14,62,10
2015,17-Jul-15,183,48,306,473,2249,4621,205.4690974,754,6129,74,1622,834,92,Friday,76,55,10
2015,18-Jul-15,912,96,288,482,1793,2513,140.1561629,442,5632,803,1408,355,369,Saturday,64,35,10
2015,19-Jul-15,587,57,943,492,5977,4389,73.43148737,754,2014,621,1063,392,900,Sunday,83,59,10
2015,20-Jul-15,166,85,632,150,7499,6545,87.27830377,870,1427,180,4971,618,354,Monday,57,15,10
2015,21-Jul-15,722,44,520,175,4391,1513,34.45684354,515,5933,905,950,597,385,Tuesday,100,30,10
2015,22-Jul-15,942,34,858,438,1524,9212,604.4619423,511,8340,564,1461,511,284,Wednesday,28,16,10
2015,23-Jul-15,602,90,825,472,1181,1506,127.5190517,848,6483,502,1259,987,95,Thursday,69,59,10
2015,24-Jul-15,590,27,844,396,9121,3751,41.12487666,450,6413,586,1442,324,152,Friday,41,45,10
2015,25-Jul-15,305,13,461,321,4756,4587,96.44659378,704,1086,807,1155,795,745,Saturday,78,76,10
2015,26-Jul-15,839,24,670,170,4114,4796,116.5775401,324,6018,703,2433,682,596,Sunday,71,24,10
2015,27-Jul-15,678,98,169,406,4519,9727,215.246736,901,6313,249,3101,746,719,Monday,24,26,10
2015,28-Jul-15,792,38,772,426,7442,2558,34.37248052,579,3422,508,4156,501,989,Tuesday,13,54,10
2015,29-Jul-15,789,11,471,202,6867,5267,76.70016019,417,5206,230,2700,373,998,Wednesday,96,71,10
2015,30-Jul-15,747,96,919,330,4123,1686,40.89255397,834,8103,437,3782,715,168,Thursday,27,97,10
2015,31-Jul-15,911,54,506,118,9655,7928,82.11289487,510,6711,86,1498,204,826,Friday,44,70,10
2015,01-Aug-15,161,92,766,199,6821,1974,28.94003812,561,6024,457,3669,254,960,Saturday,31,19,10
2015,02-Aug-15,490,29,906,246,6488,5583,86.05117139,448,5199,607,94,590,173,Sunday,29,84,10
2015,03-Aug-15,300,19,122,425,3931,6708,170.6436021,545,8364,440,3198,244,868,Monday,80,53,10
2015,04-Aug-15,121,14,345,124,5489,6793,123.7566041,893,3171,332,3574,273,309,Tuesday,55,47,10
2015,05-Aug-15,584,16,236,435,8294,3137,37.82252231,908,2550,806,425,279,445,Wednesday,98,83,10
2015,06-Aug-15,234,16,520,430,2283,9547,418.1778362,457,2506,174,4695,507,826,Thursday,38,91,10
2015,07-Aug-15,610,77,860,356,9719,8051,82.83774051,494,2819,999,775,434,408,Friday,98,84,10
2015,08-Aug-15,927,79,120,226,3087,7075,229.1869129,149,8636,297,2656,790,293,Saturday,37,94,10
2015,09-Aug-15,264,26,441,308,1220,7599,622.8688525,761,3888,685,4707,986,356,Sunday,44,35,10
2015,10-Aug-15,788,61,827,225,4398,5156,117.2351069,662,8712,744,3210,640,950,Monday,77,96,10
2015,11-Aug-15,182,13,151,384,2628,1849,70.35768645,757,9648,593,1753,458,824,Tuesday,69,40,10
2015,12-Aug-15,892,52,686,332,3825,9435,246.6666667,878,1852,836,2246,990,528,Wednesday,17,50,10
2015,13-Aug-15,102,77,406,126,2049,4609,224.9389946,763,2115,41,1321,154,795,Thursday,34,93,10
2015,14-Aug-15,675,71,494,240,7017,9996,142.4540402,131,8724,208,4901,270,489,Friday,18,53,10
2015,15-Aug-15,696,98,846,180,5389,9427,174.9304138,382,3252,652,3481,422,742,Saturday,57,25,10
2015,16-Aug-15,395,29,965,106,7356,2512,34.14899402,834,7695,508,1978,564,72,Sunday,29,41,10
2015,17-Aug-15,654,45,989,468,2264,7834,346.024735,629,8009,152,1222,840,612,Monday,84,96,10
2015,18-Aug-15,956,38,295,197,7997,2796,34.96311117,289,6683,370,2185,973,359,Tuesday,75,46,10
2015,19-Aug-15,748,20,908,319,6619,2144,32.39159994,847,9150,153,2907,916,169,Wednesday,31,40,10
2015,20-Aug-15,162,43,821,335,7852,8177,104.1390728,210,3778,310,333,894,542,Thursday,31,17,10
2015,21-Aug-15,536,27,534,173,1989,7553,379.7385621,464,4888,226,944,836,316,Friday,31,76,10
2015,22-Aug-15,954,76,468,405,6202,9996,161.1738149,172,7508,396,959,262,981,Saturday,68,99,10
2015,23-Aug-15,235,81,569,239,6549,2262,34.53962437,869,7766,106,4937,301,794,Sunday,74,16,10
2015,24-Aug-15,870,54,411,133,9838,7837,79.6605001,299,7071,795,4020,477,779,Monday,97,52,10
2015,25-Aug-15,750,22,812,211,9554,6111,63.96273812,221,8194,324,3077,422,70,Tuesday,36,68,10
2015,26-Aug-15,504,95,821,252,4574,5004,109.400962,420,9172,840,2114,632,175,Wednesday,96,53,10
2015,27-Aug-15,432,74,147,353,7887,4057,51.43907696,771,3114,293,2197,570,955,Thursday,38,17,10
2015,28-Aug-15,882,20,274,418,7019,9711,138.3530417,336,4051,364,2286,742,192,Friday,73,72,10
2015,29-Aug-15,304,59,708,457,7379,1083,14.67678547,996,6527,799,4250,591,911,Saturday,82,50,10
2015,30-Aug-15,699,66,958,338,2110,7059,334.549763,170,9024,363,4105,941,737,Sunday,37,71,10
2015,31-Aug-15,817,84,406,499,2408,4664,193.6877076,600,4040,537,4654,838,338,Monday,83,89,10
2015,01-Sep-15,397,75,926,237,7909,6812,86.12972563,913,6297,999,88,528,799,Tuesday,59,68,10
2015,02-Sep-15,492,55,539,395,7475,6818,91.21070234,203,3992,93,647,164,649,Wednesday,16,37,10
2015,03-Sep-15,861,60,500,118,8419,8294,98.5152631,790,1441,412,2856,178,307,Thursday,59,34,10
2015,04-Sep-15,782,87,966,311,1643,4563,277.7236762,836,1870,86,3613,557,255,Friday,17,52,10
2015,05-Sep-15,905,59,166,246,4048,9646,238.2905138,364,8697,663,2583,581,805,Saturday,96,86,10
